"channel_name","total_conversions","total_conversion_value"
"00000FkCnDfDDf0iC97iC703B",0.78922367954626,0.78922367954626
"2018-07-03T13:02:11Z",0.248826808058105,0.248826808058105
"impression",195.878600466109,195.878600466109
"0",195.878600466109,195.878600466109
"Instagram",24.4354031692398,24.4354031692398
"2018-07-17T19:15:07Z",0.193871194008462,0.193871194008462
"Online Display",23.5439009857678,23.5439009857678
"2018-07-24T15:51:46Z",0.157234117975367,0.157234117975367
"2018-07-29T07:44:51Z",0.189291559504325,0.189291559504325
"0000nACkD9nFkBBDECD3ki00E",1.06247520495976,1.06247520495976
"2018-07-03T09:44:57Z",0.195397738843175,0.195397738843175
"Paid Search",56.7050344302232,56.7050344302232
"2018-07-03T23:36:49Z",0.189291559504325,0.189291559504325
"2018-07-10T22:24:41Z",0.157234117975367,0.157234117975367
"2018-07-10T22:24:44Z",0.174026111157202,0.174026111157202
"2018-07-11T21:21:46Z",0.207610097520873,0.207610097520873
"2018-07-11T22:19:53Z",0.138915579958819,0.138915579958819
"0003EfE37E93D0BC03iBhBBhF",1.02125849442253,1.02125849442253
"2018-07-08T10:48:21Z",0.239667539049831,0.239667539049831
"2018-07-09T13:06:42Z",0.190818104339038,0.190818104339038
"2018-07-10T13:02:36Z",0.166393386983641,0.166393386983641
"2018-07-10T14:04:14Z",0.245773718388681,0.245773718388681
"2018-07-12T10:34:38Z",0.178605745661339,0.178605745661339
"00073CFE3FoFCn70fBhB3kfon",0.17249956632249,0.17249956632249
"2018-07-21T10:52:04Z",0.17249956632249,0.17249956632249
"00079hhBkDF3k3kDkiFi9EFAD",0.183185380165476,0.183185380165476
"2018-07-10T11:11:24Z",0.183185380165476,0.183185380165476
"0007iiAiFh3ifoo9Ehn3ABB0F",0.806015672728096,0.806015672728096
"2018-07-09T16:57:18Z",0.163340297314216,0.163340297314216
"2018-07-17T16:00:58Z",0.207610097520873,0.207610097520873
"Facebook",51.6475913928213,51.6475913928213
"2018-07-17T16:01:44Z",0.224402090702708,0.224402090702708
"2018-07-18T17:17:24Z",0.210663187190298,0.210663187190298
"0007o0nfoh9o79DDfD7DAiEnE",0.177079200826627,0.177079200826627
"2018-07-12T08:07:08Z",0.177079200826627,0.177079200826627
"0007oEBhnoF97AoEE3BCkFnhB",0.174026111157202,0.174026111157202
"2018-07-06T13:45:29Z",0.174026111157202,0.174026111157202
"conversion",5.4344996115758,5.4344996115758
"1",5.4344996115758,5.4344996115758
"6",2.6058120328539,2.6058120328539
"00090n9EBBEkA000C7Cik999D",0.245773718388681,0.245773718388681
"2018-07-05T06:53:53Z",0.245773718388681,0.245773718388681
"8",0.219822456198572,0.219822456198572
"000A9AfDohfiBAFB0FDf3kDEE",0.970882514877024,0.970882514877024
"2018-07-24T00:09:46Z",0.203030463016736,0.203030463016736
"Online Video",44.9811700996327,44.9811700996327
"2018-07-27T21:08:17Z",0.233561359710982,0.233561359710982
"2018-07-27T22:36:07Z",0.199977373347312,0.199977373347312
"2018-07-28T16:33:01Z",0.170973021487778,0.170973021487778
"2018-07-29T21:21:25Z",0.163340297314216,0.163340297314216
"000ADEAB7fBin9fEoFFnAohi9",0.386215843182212,0.386215843182212
"2018-07-12T13:05:27Z",0.163340297314216,0.163340297314216
"2018-07-17T07:22:43Z",0.222875545867996,0.222875545867996
"000Afi9i930kBkA9EhBDDi9B7",1.33572673037326,1.33572673037326
"2018-07-14T18:13:47Z",0.187765014669613,0.187765014669613
"2018-07-14T18:14:27Z",0.195397738843175,0.195397738843175
"2018-07-14T19:10:36Z",0.241194083884544,0.241194083884544
"2018-07-14T19:10:43Z",0.241194083884544,0.241194083884544
"2018-07-14T19:10:58Z",0.203030463016736,0.203030463016736
"2018-07-14T19:11:10Z",0.146548304132381,0.146548304132381
"2018-07-14T19:21:58Z",0.120597041942272,0.120597041942272
"000BA9hECi3BiBkAifAA7ifA7",0.17249956632249,0.17249956632249
"2018-07-28T15:40:33Z",0.17249956632249,0.17249956632249
"000C9BiBFhoFhC7noEFAA7no7",1.58913317293551,1.58913317293551
"2018-07-01T15:02:03Z",0.244247173553968,0.244247173553968
"2018-07-01T15:53:27Z",0.199977373347312,0.199977373347312
"2018-07-02T06:39:44Z",0.27172498057879,0.27172498057879
"2018-07-04T10:57:20Z",0.178605745661339,0.178605745661339
"2018-07-04T16:47:15Z",0.201503918182024,0.201503918182024
"2018-07-05T07:00:59Z",0.123650131611696,0.123650131611696
"2018-07-05T15:22:28Z",0.161813752479504,0.161813752479504
"2018-07-09T06:58:48Z",0.207610097520873,0.207610097520873
"000C9f9DnCfoDF03BnfFAEFFC",1.04873630144735,1.04873630144735
"2018-07-11T09:04:18Z",0.247300263223393,0.247300263223393
"2018-07-17T09:09:01Z",0.225928635537421,0.225928635537421
"2018-07-17T09:09:49Z",0.187765014669613,0.187765014669613
"2018-07-19T09:19:39Z",0.154181028305943,0.154181028305943
"2018-07-26T09:22:14Z",0.233561359710982,0.233561359710982
"000CBnkoBDkkfofFh3A3EBFDk",0.247300263223393,0.247300263223393
"2018-07-09T20:13:17Z",0.247300263223393,0.247300263223393
"000Ch3F0DnD0hBk9fFh3hAiki",0.337366408471419,0.337366408471419
"2018-07-21T17:08:12Z",0.170973021487778,0.170973021487778
"2018-07-29T11:03:21Z",0.166393386983641,0.166393386983641
"000ChDfhfD30FniFBAfo3D73C",0.691524810124673,0.691524810124673
"2018-07-12T11:58:15Z",0.157234117975367,0.157234117975367
"2018-07-12T11:58:28Z",0.155707573140655,0.155707573140655
